licznosc_populacji	prawd_krzyzowania	prawd_mutacji	min_koszt
10	0.4	0.0	3627
10	0.4	0.0	3607
10	0.4	0.0	3584
10	0.4	0.0	3570
10	0.4	0.0	3563
10	0.4	0.0	3551
10	0.4	0.0	3496
10	0.4	0.0	3516
10	0.4	0.0	3492
10	0.4	0.0	3462
10	0.4	0.0	3452
10	0.4	0.0	3450
10	0.4	0.0	3450
10	0.4	0.0	3459
10	0.4	0.0	3429
10	0.4	0.0	3415
10	0.4	0.0	3414
10	0.4	0.0	3429
10	0.4	0.0	3412
10	0.4	0.0	3409
10	0.4	0.0	3396
10	0.4	0.0	3401
10	0.4	0.0	3384
10	0.4	0.0	3384
10	0.4	0.0	3384
10	0.4	0.0	3384
10	0.4	0.0	3384
10	0.4	0.0	3391
10	0.4	0.0	3391
10	0.4	0.0	3385
10	0.4	0.0	3385
10	0.4	0.0	3385
10	0.4	0.0	3391
10	0.4	0.0	3391
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3400
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
