licznosc_populacji	prawd_krzyzowania	prawd_mutacji	min_koszt
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
10	0.4	0.0	3409
